Plot_id	Abundance	Richness	Shannon	Fresh	Dry	Residues	live	all	Bulk.density	Slope	PositionOnHill	Hillslope	Exposition	Stone	Serie	Humidity	C	N	LU
M1	764	10	1.412818669	53.132	139.358	94.864	NA	52.3984	1.07792	18.2979208618	74.1	22.3	NA	NA	NA	5.5615384615	1.852	0.1594	M
M2	3928	14	0.9427620594	65.502	121.972	227.446	27.6884	67.492	1.31838	32.3448036191	84.4	32.1	NA	NA	NA	7.0230769231	1.372	0.1212	M
M3	680	4	0.4501158941	76.754	165.202	136.992	13.8814	49.6112	1.20842	24.7231323214	23.7	29.9	NA	NA	NA	4.0276923077	2.04	0.1796	M
M4	293	5	0.866199509	5.4	5.954	328.286	3.7566	54.0068	1.18614	29.9191715898	58.8	39.9	NA	NA	NA	8.0846153846	2.42	0.23	M
M5	242	9	1.2093633147	47.054	170.686	83.566	14.5076	54.8906	1.23064	19.9288618691	21	27.4	NA	NA	NA	5.1230769231	2.214	0.19	M
OR1	774	15	1.7311503524	23.486	8.632	537.822	25.1748	98.1748	1.27746	15.23019175	78.2	36.3	NA	NA	NA	13.8830769231	2.288	0.166	OR
OR2	147	7	0.8426039575	0.056	2.796	185.362	3.736	55.1348	1.0947	26.8500123809	52.8	28.6	NA	NA	NA	13.6015384615	2.678	0.1976	OR
OR3	808	9	1.3922237723	13.362	48.24	516.548	19.7786	97.99	1.27238	25.2166111521	65.4	31.2	NA	NA	NA	19.5738461538	1.296	0.1368	OR
OR4	1024	10	1.2373562866	17.938	30.132	490.506	16.8836	99.2212	1.22502	28.9040169359	41.3	34.8	NA	NA	NA	9.1293103448	1.364	0.134	OR
OR5	45	5	1.1098240017	8.636	0.418	677.754	8.752	97.2206	1.23414	26.5437857436	32.8	30.6	NA	NA	NA	18.5292307692	2.104	0.1954	OR
ULR1	1683	17	1.0577334139	125.048	38.316	161.882	46.8042	70.3994	1.1752	22.3572631069	71.2	24.4	NA	NA	NA	10.8707692308	1.51	0.1414	ULR
ULR2	3124	16	0.7975681415	177.634	90.12	75.428	39.583	76.4312	1.10442	24.1576472372	74.9	27.2	NA	NA	NA	9.4246153846	2.586	0.215	ULR
ULR3	2569	17	1.4094906208	157.644	73.542	69.88	47.2694	80.7234	1.04364	32.6545773333	29.6	34.5	NA	NA	NA	10.9230769231	2.32	0.2332	ULR
ULR4	1017	12	0.5850480869	64.936	22.758	206.086	18.2196	61.6266	1.1109	24.6227415714	75.3	42.7	NA	NA	NA	7.5261538462	2.738	0.2346	ULR
ULR5	84	10	1.3184027618	33.75	32.858	92.706	4.921	34.1038	1.23942	16.3236546511	38.5	28.1	NA	NA	NA	4.9153846154	2.374	0.1888	ULR
YR1	1242	6	0.9777026644	0.698	196.31	169.968	4.69725	46.039	1.24156	31.4723536117	87.1	43.9	NA	NA	NA	11.3692307692	1.926	0.1682	YR
YR2	210	13	1.4817350642	7.402	285.484	109.966	2.4504	50.0876	1.2863	17.6659181632	87.1	32.1	NA	NA	NA	6.6476923077	1.308	0.1146	YR
YR3	533	9	0.8143539327	19.092	47.402	165.632	5.0752	47.161	1.14546	12.3129965	11.7	29.8	NA	NA	NA	7.0246153846	2.714	0.2166	YR
YR5	1035	8	0.3881581807	26.676	256.751	137.27	24.3532	73.9234	1.09484	23.611165381	21.3	23	NA	NA	NA	6.48	2.9	0.2386	YR
YR6	929	17	1.8119238395	17.83	198.006	108.738	8.9016	53.7596	1.13662	59.8479419551	83.4	41.2	NA	NA	NA	6.7569230769	2.768	0.2058	YR
