Site;Crop;culture precedente;Nappli;46-00,ha;21-00,ha;15-15-15,ha;Glyph,ha;Metsul,ha;Amiz,ha;Atraz,ha;Canry,ha;Gram,ha;TH,ha;TM,ha;Nherb
M1;M;;2;13,3928571429;0;0;1,0714285714;0;0;0;0;0,3571428571;0,8035714286;0,8035714286;2
M2;M;mais;2;1,3392857143;0;8,9285714286;0,1785714286;0;0;80,3571428571;0;0,2678571429;0,2678571429;3,5714285714;3
M3;M;mais;3;9375;0;9375;1,25;0;0;450;0;375;0,75;1;3
M4;M;mais;2;12,5;0;0;1;0;0;93,75;0;0;0,5;0,0416666667;2
M5;M;mais;1;9375;0;0;0,1655982906;0;0;0;0;0;125;0,25;1
OR1;OR;rice;2;0;0;0;0;0;0;0;0;1,6667;0,2083333333;0,3125;1
OR2;OR;pomelo;0;121875;0;0;0;0;0;0;0;0;0;0,3375;0
OR4;OR;mais;0;0;0;8,3333333333;0;0;0;0;0;0;0;0,0625;0
OR5;OR;mais;3;0;0;7,8125;0,75;0;0;0;0;0;0,1875;0,234375;1
ULR1;ULR;mais;2;9375;0;0;0;0;0;0;0,25;1,5625;0,25;0,4375;2
ULR2;ULR;mais;2;12,5;0;0;0,75;9;0;0;0,0625;0;0,5;375;2
ULR3;ULR;rice;2;0;12,5;0;2,5;0;0;0;0,5;0;1,5;375;2
ULR4;ULR;mais;2;6,25;0;0;1,5;0;4,5;0;0;0;1125;0,1875;2
ULR5;ULR;rice;1;12,5;0;0;0,0694444444;0;0;0;0;0;0,1875;375;1
YR1;YR;mais;1;8,3333333333;0;0;0,2083333333;0;0;0;0;0;0,0625;125;1
YR2;YR;mais;1;8,3333333333;0;0;0,2083333333;0;0;0;0;0;0,0625;125;1
YR3;YR;mais;1;5,859375;0;0;0,1655982906;0;0;0;0;0;0,078125;0,234375;1
YR5;YR;mais;2;7,8125;0;0;1875;0;0;281,25;0;1,5625;0,46875;0,46875;3
YR6;YR;mais;2;12,5;0;0;2,5;0;0;0;0;0,25;1125;375;2
