Month	Rainfall	Rainfall_density	Year	Relative_air_humidity
Mar	33.9	0.23	2015	62.5733257143
Apr	193.8	0.27	2015	66.0758066667
May	111.3	0.21	2015	72.026826129
Jun	48.1	0.18	2015	73.9936796667
Jul	198	0.19	2015	78.4912764516
Aug	293.9	0.2	2015	87.6420012903
Sep	174.3	0.22	2015	87.3314906667
Oct	143	0.18	2015	85.6507896429
Nov	40.4	0.26	2015	85.1720143333
Dec	33.5	0.16	2015	85.4454816129
Jan	66.4	0.23	2016	77.2041525806
Fev	5.7	0.1	2016	65.6451544828
Mar	1	0.08	2016	54.1546556667
Apr	36.2	0.27	2016	47.1622286667
May	146.2	0.22	2016	69.6695696774
Jun	238.6	0.31	2016	82.4984743333
Jul	202.7	0.2	2016	87.6764303226
Aug	408.8	0.19	2016	88.8013435484
Sep	105.4	0.15	2016	86.7556296667
Oct	172.4	0.2	2016	87.333
Nov	137.3	0.25	2016	86.9314226667
Dec	0.8	0	2016	82.3281190323
